id,selected_by_percent,selected_rank,selected_rank_type
1,38.0,6,1
2,0.1,441,49
3,0.0,521,59
4,29.4,9,2
5,0.1,414,148
6,0.3,309,115
7,0.7,223,72
8,41.0,5,1
9,1.6,147,62
10,5.5,65,25
11,6.0,61,23
12,10.3,38,15
13,17.6,21,7
14,1.9,129,39
15,10.4,36,13
16,0.3,292,97
17,0.6,238,78
18,0.2,340,123
19,1.1,191,63
20,0.1,432,171
22,0.0,573,242
23,0.0,584,249
24,0.0,583,248
25,7.9,54,8
26,6.8,57,10
27,0.3,287,50
31,11.7,34,12
452,3.4,100,33
557,25.7,10,4
28,4.2,77,10
29,0.1,397,43
30,0.1,421,150
32,8.3,51,19
33,0.4,273,103
34,0.5,264,100
35,0.1,453,183
36,0.8,216,80
37,0.3,301,113
38,1.7,139,58
39,0.3,316,119
41,1.3,173,54
44,0.2,382,145
45,3.1,103,34
46,0.2,321,111
47,0.4,282,93
48,0.0,538,223
49,0.0,602,263
50,0.7,229,75
51,0.7,226,73
52,0.0,491,204
53,0.2,333,117
54,0.1,467,189
55,9.4,45,7
56,0.1,405,60
160,0.6,240,79
582,0.5,263,45
596,0.1,412,146
597,0.8,212,30
606,0.0,509,176
607,0.0,489,202
57,3.3,101,15
58,3.2,102,16
59,0.2,351,38
60,0.9,206,74
61,4.3,75,31
62,0.2,346,130
63,0.0,579,196
64,0.1,402,142
65,0.0,554,192
66,0.2,350,132
67,2.8,106,35
68,2.0,124,37
69,1.5,162,47
70,1.2,180,59
71,0.2,371,140
72,0.1,434,173
73,0.2,337,120
74,0.0,482,196
75,0.0,566,238
76,0.0,561,234
77,0.0,535,222
78,0.4,276,90
79,2.7,110,14
80,0.0,525,69
81,0.1,409,61
566,0.3,291,108
573,0.2,330,125
608,0.0,548,70
82,6.2,59,8
83,0.1,410,45
84,2.0,123,51
85,0.1,401,141
86,0.7,221,71
87,3.8,86,34
88,5.4,66,26
89,0.3,314,117
90,0.1,450,159
91,0.1,445,157
92,0.0,546,188
93,0.2,363,138
94,3.5,94,31
95,1.2,181,60
96,0.6,247,82
97,0.2,336,119
98,0.3,313,108
99,0.0,606,265
100,0.0,570,240
102,1.2,176,57
103,0.0,532,220
105,0.2,370,139
106,17.1,23,4
107,0.9,203,34
108,0.4,275,47
565,5.8,63,21
109,21.7,14,3
111,4.1,80,12
113,2.5,114,46
114,0.3,319,120
115,4.9,70,29
116,1.1,186,71
117,0.0,550,190
118,0.1,435,152
119,0.0,519,179
120,0.1,480,168
121,0.0,488,201
122,0.1,447,179
123,1.5,160,46
124,13.6,28,9
125,1.0,194,30
126,0.1,422,165
127,3.8,85,28
128,0.0,597,259
129,0.7,232,77
130,0.4,279,105
131,0.2,354,129
132,0.1,470,191
133,0.0,605,264
134,0.3,304,103
135,0.1,454,184
137,0.0,586,72
138,0.2,332,53
139,0.0,520,68
328,0.2,322,122
504,2.5,115,47
594,0.3,310,52
600,0.0,572,241
605,0.0,507,213
40,25.2,12,6
101,0.0,504,211
136,1.1,192,29
140,2.4,118,18
141,0.0,568,65
142,10.2,39,13
143,0.2,374,139
144,1.2,179,70
145,0.0,552,191
146,0.0,529,181
147,0.2,341,128
148,0.5,257,96
149,1.6,150,64
150,0.1,440,154
151,0.3,295,110
152,2.7,109,44
153,0.1,466,164
154,12.0,33,11
155,5.0,69,22
156,1.3,171,52
157,1.2,175,56
158,0.0,510,215
159,3.6,91,30
161,0.1,476,194
163,0.2,345,125
164,0.0,501,209
