id,status,news,chance_of_playing_this_round,chance_of_playing_next_round
1,a,,,
2,a,,,
3,a,,,
4,a,,,
5,a,,100,100
6,i,Back injury - Unknown return date,0,0
7,a,,,
8,a,,,
9,a,,,
10,d,Groin injury - 75% chance of playing,100,75
11,a,,100,100
12,a,,,
13,d,Unspecified injury - 75% chance of playing,,75
14,a,,,
15,a,,,
16,a,,,
17,a,,,
18,u,Has joined Al Hilal permanently,0,0
19,a,,,
20,a,,,
22,u,Has joined Borussia Dortmund on loan for the rest of the season,0,0
23,u,Has joined Hamburger SV permanently,0,0
24,u,has departed the club as a free agent.,0,0
25,a,,,
26,a,,,
27,u,Has joined FC Barcelona permanently,0,0
31,a,,,
452,a,,100,100
557,a,,,
29,i,Back injury - Expected back 10 Oct,0,0
30,u,Has joined Paris Saint-Germain permanently,0,0
32,a,,100,100
33,a,,,
34,i,Hamstring injury - Expected back 10 Oct,0,0
35,a,,,
36,i,Ankle injury - Unknown return date,0,0
37,a,,,
38,a,,,
39,u,Has joined Rangers on loan for the rest of the season,0,0
41,a,,,
44,u,Has joined Olympiakos permanently,0,0
45,a,,,
46,a,,,
47,a,,100,100
48,i,Knee injury - Unknown return date,0,0
49,u,Has joined Bolton Wanderers on loan for the rest of the season,0,0
50,a,,,
51,a,,,
52,d,Unspecified injury - 75% chance of playing,,75
53,a,,100,100
54,a,,100,100
55,u,Has joined Al Hilal permanently,0,0
56,a,,100,100
160,a,,,
166,a,,,
582,i,Unspecified injury - Unknown return date,0,0
596,a,,,
597,a,,,
606,a,,,
607,u,Has joined Oxford United on loan until January,0,0
611,a,,,
618,i,Knee injury - Expected back 10 Oct,0,0
630,a,,,
631,a,,,
667,a,,,
57,a,,,
58,a,,,
59,u,Has joined MK Dons permanently,0,0
60,a,,,
61,a,,,
62,a,,,
63,i,Thigh injury - Unknown return date,0,0
64,a,,,
65,i,Thigh injury - Unknown return date,0,0
66,a,,100,100
67,a,,,
68,a,,,
69,a,,,
70,i,Unspecified injury - Unknown return date,,0
71,a,,,
72,a,,,
73,a,,100,100
74,a,,100,100
75,a,,100,100
76,a,,,
77,i,Calf injury - Unknown return date,0,0
78,i,Foot injury - Expected back 7 Nov,0,0
79,a,,,
80,u,Has joined Getafe permanently,0,0
81,a,,100,100
566,a,,,
573,a,,,
608,a,,,
615,a,,,
82,a,,,
83,a,,,
84,i,Calf injury - Unknown return date,0,0
85,i,Groin injury - Unknown return date,0,0
86,a,,,
87,a,,,
88,a,,,
89,a,,,
90,a,,,
92,a,,,
93,a,,,
94,a,,,
95,a,,,
96,a,,,
97,i,Unspecified injury - Expected back 10 Oct,0,0
98,a,,,
99,i,Knee injury - Unknown return date,0,0
100,a,,100,100
102,a,,,
103,i,Hamstring injury - Expected back 10 Oct,0,0
105,a,,,
106,a,,,
107,i,Unspecified injury - Unknown return date,0,0
108,a,,,
565,a,,,
620,a,,,
657,a,,,
660,a,,,
661,a,,,
109,a,,,
111,a,,,
113,a,,100,100
114,a,,,
115,a,,,
116,d,Neck injury - 75% chance of playing,,75
117,a,,,
118,u,Has joined Burnley permanently,0,0
119,a,,,
120,a,,,
121,i,Hamstring injury - Expected back 10 Oct,0,0
122,i,Leg injury - Expected back 28 Nov,0,0
123,i,Ankle injury - Expected back 10 Oct,0,0
124,a,,,
125,a,,100,100
126,a,,,
127,a,,,
128,u,Has joined Elche on loan for the rest of the season,0,0
129,a,,100,100
130,i,Knee injury - Unknown return date,0,0
132,u,Has joined Leicester City on loan for the rest of the season,0,0
133,u,Has joined Leicester City on loan for the rest of the season,0,0
134,a,,,
135,i,Unspecified injury - Expected back 10 Oct,0,0
137,i,Knee injury - Unknown return date,0,0
138,a,,,
139,i,Ankle injury - Expected back 10 Oct,0,0
328,d,Hamstring injury - 75% chance of playing,100,75
504,a,,,
594,a,,,
600,a,,,
605,a,,,
614,a,,,
624,u,Has joined Middlesbrough on loan for the rest of the season,0,0
639,a,,,
652,i,Hamstring injury - Expected back 10 Oct,0,0
658,a,,,
28,a,,,
40,a,,,
101,a,,50,100
136,a,,100,100
140,u,Has joined Como on loan for the rest of the season,0,0
141,u,Has joined RC Strasbourg on loan for the rest of the season,0,0
142,d,Hamstring injury - 75% chance of playing,75,75
143,u,Has joined Como permanently,0,0
144,a,,,
145,a,,100,100
146,u,Has joined Napoli on loan for the rest of the season,0,0
148,a,,,
149,a,,,
150,u,Has joined Real Sociedad on loan for the rest of the season,0,0
151,a,,,
152,d,Thigh injury - 50% chance of playing,50,50
154,d,Muscular injury - 75% chance of playing,100,75
156,a,,,
157,a,,,
158,a,,,
159,d,Calf injury - 50% chance of playing,50,50
161,a,,,
163,u,Has joined RC Strasbourg on loan for the rest of the season,0,0
164,a,,100,100
165,d,Knee injury - 75% chance of playing,75,75
168,u,Has joined RB Leipzig permanently,0,0
169,a,,,
170,i,Hamstring injury - Expected back 10 Oct,0,0
200,a,,,
560,a,,,
561,a,,100,100
568,a,,,
583,a,,,
662,a,,,
91,a,,,
104,a,,100,100
110,a,,,
171,u,Has joined Leyton Orient on loan for the rest of the season,0,0
172,a,,,
173,a,,,
174,u,Has joined Sheffield United on loan for the rest of the season,0,0
175,d,Hamstring injury - 75% chance of playing,,75
176,a,,,
177,i,Hamstring injury - Unknown return date,0,0
178,a,,,
179,a,,,
180,i,Knee injury - Unknown return date,0,0
181,u,Has joined Academico de Viseu on loan for the rest of the season,0,0
182,i,Calf injury - Unknown return date,25,0
183,a,,100,100
184,a,,,
185,a,,,
186,a,,100,100
187,i,Unspecified injury - Expected back 12 Oct,0,0
188,a,,,
189,a,,,
190,a,,,
191,u,Has joined Burton Albion on loan for the rest of the season,0,0
192,u,Has joined Oxford United on loan for the rest of the season,0,0
193,i,Thigh injury - Unknown return date,0,0
194,a,,,
195,a,,,
196,u,Has joined Shabab Al-Ahli Dubai permanently,0,0
197,u,Has joined KVC Westerlo on loan for the rest of the season,0,0
492,s,Suspended until 19 Oct,0,0
575,a,,,
584,a,,,
599,a,,,
623,a,,,
655,a,,,
656,a,,,
42,a,,,
153,s,Suspended until 25 Oct,0,0
198,i,Foot injury - Expected back 11 Oct,0,0
199,a,,,
202,a,,,
203,a,,,
204,a,,,
205,u,Has joined FC Cologne on loan for the rest of the season,0,0
206,i,Knee injury - Unknown return date,0,0
207,a,,,
208,a,,100,100
210,a,,100,100
211,a,,,
212,a,,,
213,a,,,
214,a,,,
215,u,Has joined Stoke City permanently,0,0
216,u,Has joined Millwall on loan for the rest of the season,0,0
217,u,Has joined Alverca on loan for the rest of the season,0,0
218,a,,,
219,u,has joined  Kasimpasa on loan for the rest of the seaon.,0,0
220,u,Has joined Bristol City on loan for the rest of the season,0,0
221,a,,,
222,a,,,
223,i,Hamstring injury - Expected back 11 Oct,0,0
224,a,,100,100
225,u,has returned to Getafe CF,0,0
241,a,,,
555,a,,,
577,d,Calf injury - 75% chance of playing,,75
588,a,,,
595,a,,,
633,a,,,
643,a,,,
644,a,,,
647,a,,,
21,i,Groin injury - Unknown return date,0,0
209,a,,,
226,a,,,
227,a,,,
228,a,,,
229,a,,,
230,a,,,
231,a,,,
232,a,,,
233,a,,,
234,u,Has joined Torino permanently,0,0
235,u,Has joined Malaga on loan for the rest of the season,0,0
236,a,,,
238,a,,100,100
239,a,,100,100
242,a,,,
243,a,,,
244,a,,75,100
245,a,,,
246,i,Unspecified injury - Expected back 11 Oct,0,0
247,a,,100,100
248,u,Has joined Fiorentina permanently,0,0
249,a,,,
649,a,,,
654,a,,,
250,a,,,
251,a,,,
252,u,Has joined York City on loan for the rest of the season,0,0
253,a,,100,100
254,a,,,
255,a,,,
256,a,,0,100
257,a,,,
258,a,,,
261,a,,,
262,a,,,
263,a,,,
264,a,,,
265,a,,,
266,i,Knee injury - Expected back 10 Oct,0,0
268,a,,,
269,a,,75,100
270,a,,,
271,a,,,
272,a,,,
569,a,,,
570,a,,,
580,a,,,
610,u,has joined  Real Salt Lake on loan for the rest of the seaon.,0,0
626,a,,,
635,a,,,
636,a,,,
650,a,,,
240,a,,100,100
273,a,,,
