id,selected_by_percent,selected_rank,selected_rank_type
1,42.2,4,1
2,0.1,463,53
3,0.0,548,63
4,22.8,14,4
5,0.4,275,100
6,0.2,329,122
7,0.6,241,77
8,50.6,3,1
9,0.9,194,72
10,5.1,74,29
11,1.7,141,56
12,13.5,30,11
13,12.0,35,14
14,1.0,175,56
15,19.8,18,8
16,0.2,327,117
17,0.4,273,91
18,0.1,465,181
19,0.6,236,73
20,0.1,470,182
22,0.0,629,268
23,0.0,631,270
24,0.0,640,276
25,3.1,102,16
26,8.5,46,7
27,0.1,370,56
31,19.4,19,5
452,1.8,135,41
557,12.4,33,13
29,0.1,395,45
30,0.0,498,176
32,4.9,75,30
33,0.4,271,99
34,0.3,291,106
35,0.1,477,187
36,0.5,248,93
37,0.3,285,104
38,1.5,148,60
39,0.1,378,145
41,1.0,184,58
44,0.1,492,193
45,2.2,122,37
46,0.3,308,107
47,0.3,289,98
48,0.0,590,245
49,0.0,660,293
50,0.6,240,76
51,1.2,164,50
52,0.0,497,195
53,0.3,280,94
54,0.0,504,199
55,2.5,114,19
56,0.2,342,54
160,0.3,284,96
166,1.4,155,23
582,0.2,330,52
596,0.1,432,158
597,1.9,129,19
606,0.2,361,137
607,0.1,472,183
611,0.2,319,119
618,0.0,555,228
630,0.0,582,198
631,0.1,462,180
667,0.1,453,51
57,3.0,104,17
58,3.5,95,15
59,0.1,389,43
60,0.8,206,79
61,3.0,103,38
62,0.2,364,139
63,0.0,619,209
64,0.1,386,146
65,0.0,603,204
66,0.3,306,113
67,1.6,146,45
68,6.7,59,19
69,5.7,69,23
70,0.9,190,61
71,0.2,353,126
72,0.1,482,188
73,0.3,301,105
74,0.1,493,194
75,0.0,527,211
76,0.0,594,247
77,0.0,597,250
78,0.2,350,124
79,3.2,101,15
80,0.0,589,76
81,0.1,388,57
566,0.4,270,98
573,0.2,357,135
608,0.1,403,59
615,0.0,519,60
82,6.1,62,9
83,0.1,418,48
84,1.0,180,68
85,0.1,479,170
86,1.7,137,43
87,3.9,86,33
88,7.7,50,19
89,0.2,338,127
90,0.1,460,164
92,0.0,579,197
93,0.3,309,115
94,10.6,37,15
95,0.5,254,83
96,0.4,262,87
97,0.1,420,157
98,2.5,113,34
99,0.0,657,290
100,0.0,556,229
102,0.7,222,70
103,0.0,596,249
105,0.1,373,134
106,9.0,41,6
107,0.9,192,30
108,0.3,290,49
565,10.1,38,16
620,0.1,431,157
657,0.0,562,234
660,0.0,636,212
