name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Neco Williams,DEF,Nott'm Forest,,a,,,,10.5,38,13,0,0,13,0,3,5.8,6,469,0.02,0.02,0.00,0.47,6,1,0,2.7,15.2,2026-08-22T14:00:00Z,90,False,13,0,0,0,10,0,1,0,924685,1,3,1,0,6.0,2,0,0,0,50,True,0
Nicolò Savona,DEF,Nott'm Forest,,i,Knee injury - Unknown return date,,0,0.0,594,198,0,0,0,0,0,0.0,0,475,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,209,0,0,1,0,0.0,0,0,0,0,45,True,0
Julio Soler Barreto,DEF,Bournemouth,,d,Hamstring injury - 75% chance of playing,,75,0.3,315,118,0,0,0,0,0,0.0,0,66,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,19739,0,0,1,2,0.0,0,0,0,0,40,False,0
Anan Khalaili,DEF,Crystal Palace,,a,,,,0.1,439,152,0,0,12,0,5,26.5,9,588,0.16,0.16,0.00,0.27,3,0,0,5.5,24.0,2026-08-22T14:00:00Z,35,False,9,0,0,0,3,0,1,0,8418,0,4,0,2,4.0,1,0,0,0,50,False,0
Gerónimo Rulli,GK,Man City,,a,,,,0.0,557,65,0,0,0,0,0,0.0,0,587,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,1589,0,0,1,2,0.0,0,0,0,0,50,True,0
Sepp van den Berg,DEF,Brentford,,i,Unspecified injury - Unknown return date,,0,0.2,335,126,0,0,0,0,0,0.0,0,85,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,19,0,0,0,0,0,1,0,14391,0,0,0,3,0.0,0,0,0,0,50,True,0
Jeremie Frimpong,DEF,Liverpool,,a,,,,3.3,94,37,0,0,3,0,1,37.8,2,357,0.09,0.10,0.01,1.58,9,2,0,6.1,13.6,2026-08-23T15:30:00Z,90,False,17,0,0,0,3,0,1,0,302241,1,1,2,2,10.0,0,0,0,0,55,False,1
Brennan Johnson,MID,Everton,,a,,,,0.2,368,134,0,0,3,0,2,0.3,2,209,0.00,0.00,0.00,0.29,3,0,0,0.4,4.0,2026-08-22T14:00:00Z,6,False,8,0,0,0,0,0,1,0,15299,0,0,0,2,0.0,1,0,0,0,60,True,0
Martín Zubimendi Ibáñez,MID,Arsenal,,a,,,,1.2,175,57,0,0,3,0,0,2.3,3,19,0.02,0.02,0.00,0.15,1,0,0,0.6,3.8,2026-08-21T19:00:00Z,22,False,7,0,0,0,2,0,1,0,107568,0,1,0,3,0.0,1,0,0,0,55,True,0
Mike Penders,GK,Chelsea,,a,,,,0.1,460,50,0,0,0,0,0,0.0,0,560,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,6087,0,0,3,2,0.0,0,0,0,0,45,False,0
