id,selected_by_percent,selected_rank,selected_rank_type
1,41.1,4,1
2,0.1,464,53
3,0.0,543,61
4,23.1,13,4
5,0.3,302,111
6,0.2,332,122
7,0.6,234,76
8,50.2,3,1
9,0.9,191,72
10,5.6,71,28
11,1.7,140,56
12,13.0,32,12
13,12.5,34,14
14,1.1,175,56
15,19.8,18,8
16,0.2,327,116
17,0.4,270,91
18,0.1,453,176
19,0.6,233,75
20,0.1,469,183
22,0.0,626,268
23,0.0,628,270
24,0.0,635,276
25,3.2,98,14
26,8.2,47,7
27,0.2,364,56
31,18.7,20,5
452,1.8,137,43
557,13.7,30,11
29,0.1,386,43
30,0.1,495,175
32,5.1,75,30
33,0.4,272,98
34,0.3,280,103
35,0.1,475,186
36,0.6,237,90
37,0.3,286,104
38,1.6,147,59
39,0.1,374,144
41,0.9,196,62
44,0.1,486,191
45,2.2,123,38
46,0.3,308,106
47,0.3,290,99
48,0.0,585,243
49,0.0,652,290
50,0.6,236,77
51,1.3,161,50
52,0.1,488,193
53,0.1,376,135
54,0.0,511,205
55,2.7,111,17
56,0.2,349,55
160,0.3,283,94
166,1.2,167,26
582,0.2,321,51
596,0.1,437,160
597,1.8,134,19
606,0.2,359,136
607,0.1,458,180
611,0.2,322,119
618,0.0,542,222
630,0.0,581,197
631,0.1,466,182
57,3.0,104,17
58,3.6,94,15
59,0.1,387,44
60,0.8,210,81
61,3.1,100,38
62,0.2,361,137
63,0.0,616,208
64,0.1,389,146
65,0.0,599,204
66,0.3,307,115
67,1.6,143,44
68,6.2,62,21
69,5.8,68,24
70,1.0,181,58
71,0.2,348,125
72,0.1,481,189
73,0.3,305,105
74,0.1,490,194
75,0.0,526,212
76,0.0,591,247
77,0.0,592,248
78,0.2,347,124
79,3.2,97,13
80,0.0,584,75
81,0.1,395,57
566,0.4,273,99
573,0.2,358,135
608,0.1,408,61
615,0.0,520,59
82,6.1,66,9
83,0.1,422,48
84,1.1,172,67
85,0.1,476,170
86,1.8,135,42
87,4.1,82,32
88,7.7,50,19
89,0.2,339,128
90,0.1,465,166
92,0.0,575,196
93,0.1,370,142
94,7.2,53,18
95,0.5,251,81
96,0.4,263,87
97,0.1,412,153
98,2.5,116,35
99,0.0,650,288
100,0.0,566,235
102,0.7,223,69
103,0.0,590,246
105,0.1,383,140
106,9.0,43,6
107,1.0,184,28
108,0.3,287,49
565,11.3,36,15
620,0.1,433,158
657,0.0,559,233
109,21.4,16,2
111,4.3,79,12
113,1.6,145,58
114,0.3,304,113
115,24.3,12,3
116,1.5,149,60
117,0.0,570,195
118,0.0,505,178
119,0.0,519,183
120,0.1,492,174
121,0.0,536,218
122,0.0,531,215
123,0.6,229,72
124,20.4,17,7
125,0.5,257,44
