name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,GW
Kjell Scherpen,GK,Ipswich Town,,a,,,,0.6,236,31,0,0,12,0,0.0,564,0.00,0.00,0.00,0.66,5,1,0,1.4,14.4,2026-08-22T14:00:00Z,90,False,20,0,0,0,0,1,2,57252,1,1,2,0.0,2,0,0,0,45,True,0,1,0,10,0,1
Reinildo Mandava,DEF,Sunderland,,a,,,,0.5,254,94,0,0,9,0,27.5,536,0.29,0.29,0.00,1.80,5,2,0,5.5,23.0,2026-08-22T14:00:00Z,90,False,12,0,0,0,0,1,0,43515,1,1,2,4.0,1,0,0,0,45,False,0,5,8,5,3,1
Fabian Schär,DEF,Newcastle,,a,,,100,0.2,332,124,0,0,-1,0,0.0,446,0.00,0.00,0.00,0.79,9,1,0,0.0,0.0,2026-08-23T15:30:00Z,1,False,14,0,0,0,0,1,0,20496,0,2,2,0.0,1,0,0,0,50,True,0,0,0,0,0,1
Milos Kerkez,DEF,Liverpool,,a,,,,3.9,81,30,0,0,3,0,13.8,358,0.02,0.04,0.02,1.58,9,2,0,4.4,18.0,2026-08-23T15:30:00Z,90,False,17,0,0,0,0,1,0,332539,1,2,2,12.0,0,0,0,0,55,False,1,4,7,3,3,1
Guglielmo Vicario,GK,Spurs,,u,Has joined Juventus on loan for the rest of the season,,0,0.6,244,32,0,0,0,0,0.0,494,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,1,0,35657,0,0,3,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Oscar Bobb,MID,Fulham,,a,,,,0.3,297,98,0,0,10,0,13.8,264,0.26,0.26,0.00,2.21,10,3,0,3.0,9.8,2026-08-24T19:00:00Z,66,False,6,0,0,0,0,1,0,26829,1,3,2,6.0,2,0,0,0,55,True,0,1,6,2,3,1
Dilane Bakwa,MID,Nott'm Forest,,a,,,,0.0,559,235,0,0,0,0,0.0,485,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,1,0,1373,0,1,0,0.0,0,0,0,0,55,True,0,0,0,0,0,1
Kasey McAteer,MID,Ipswich Town,,a,,,,1.4,162,50,0,0,4,0,1.3,323,0.00,0.00,0.00,0.03,5,0,0,0.3,1.2,2026-08-22T14:00:00Z,24,False,20,0,0,0,0,1,0,130440,0,1,2,0.0,1,0,0,0,45,True,0,0,3,2,1,1
Samuel Iling-Junior,MID,Aston Villa,,u,Has joined Bolton Wanderers on loan for the rest of the season,,0,0.0,589,255,0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,1,0,394,0,0,4,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Boubacar Kamara,MID,Aston Villa,,a,,,100,0.3,293,97,0,0,9,0,2.8,47,0.00,0.00,0.00,3.77,7,4,0,1.4,11.2,2026-08-23T13:00:00Z,90,False,5,0,0,0,0,1,0,31172,1,0,4,0.0,2,0,0,0,50,False,0,3,7,2,2,1
Max Alleyne,DEF,Man City,,u,Has joined Burnley on loan for the rest of the season,,0,0.0,558,189,0,0,0,0,0.0,394,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,1,0,1089,0,1,2,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Marc Guiu Paz,FWD,Chelsea,,a,,,,0.5,258,45,0,0,0,0,0.0,168,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,1,0,42801,0,3,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Dominic Calvert-Lewin,FWD,Leeds,,a,,,,30.3,8,3,0,0,-2,1,0.8,346,0.00,0.13,0.13,0.66,6,0,0,0.7,0.0,2026-08-22T14:00:00Z,90,False,18,0,0,0,0,1,0,2823371,1,1,0,11.0,1,0,0,0,60,False,1,0,2,2,0,1
Aurèle Amenda,DEF,Coventry City,,a,,,,0.8,204,77,0,0,1,0,0.8,182,0.01,0.01,0.00,1.88,1,3,0,3.0,28.8,2026-08-21T19:00:00Z,90,False,1,0,0,0,0,1,0,75420,1,0,3,0.0,1,0,0,0,40,False,0,9,9,4,0,1
Ibrahim Osman,MID,Brighton,0.0,,,,,,,,0,0,7,0,15.4,600,0.05,0.05,0.00,0.00,7,0,0,2.4,4.2,2026-08-23T13:00:00Z,12,False,2,0,0,0,0,1,0,633,0,0,4,4.0,1,0,0,0,50,True,0,0,2,2,0,1
