id,selected_by_percent,selected_rank,selected_rank_type
1,35.2,6,1
2,0.4,291,37
3,0.2,377,54
4,0.2,368,53
5,44.8,4,1
6,15.5,21,8
7,5.9,65,21
8,16.6,18,7
9,0.0,596,212
10,1.4,163,65
11,0.6,253,95
13,0.4,281,106
14,0.1,501,178
15,0.2,358,130
16,9.0,44,14
17,1.6,154,52
18,0.8,212,72
19,0.9,205,71
20,0.8,219,76
21,24.0,12,4
22,0.8,222,77
23,0.0,693,279
24,0.1,443,153
25,0.1,463,160
26,3.0,109,37
28,0.1,496,177
29,0.0,589,221
30,0.6,248,35
31,0.3,314,50
266,8.8,47,17
662,0.2,399,149
666,13.9,25,6
700,0.8,214,73
711,0.0,707,287
725,1.0,198,77
759,0.0,671,236
32,4.8,83,15
33,0.4,293,38
34,0.1,509,75
35,0.0,758,88
36,8.2,52,16
37,1.6,155,61
38,7.6,56,18
39,0.6,257,98
40,0.6,240,91
41,0.3,325,119
42,0.2,371,136
43,1.5,158,62
44,0.5,261,100
45,0.2,354,129
46,0.1,469,173
47,24.3,11,3
48,0.7,238,83
49,0.1,468,163
50,0.4,297,103
51,0.0,695,280
53,0.4,289,100
54,0.7,236,81
55,0.1,506,185
56,0.0,832,373
57,0.0,670,269
58,0.2,400,135
59,0.6,242,85
60,0.2,356,120
61,0.1,543,201
62,0.1,573,214
63,0.5,273,93
64,14.8,22,5
65,0.3,333,54
389,0.2,404,138
456,0.2,365,124
688,0.6,252,34
699,0.1,520,189
701,0.1,544,192
702,0.1,475,166
703,0.6,250,33
710,0.2,385,142
719,0.1,485,175
754,0.0,750,318
757,0.0,703,83
768,0.0,687,244
781,0.0,696,247
792,0.0,784,340
808,0.2,392,60
183,0.1,455,66
184,0.2,411,58
185,0.2,417,59
186,0.0,659,233
187,1.1,191,74
188,0.2,384,141
189,0.0,736,254
190,0.7,229,87
191,6.9,60,20
192,0.6,255,96
193,0.1,453,170
194,0.1,571,203
195,0.3,347,126
196,0.0,617,220
197,0.2,401,150
198,0.9,208,82
199,0.2,380,138
200,1.8,147,49
201,0.0,718,296
202,0.0,624,240
203,0.0,592,222
204,0.0,735,307
205,0.8,216,74
206,0.1,498,179
207,0.1,445,154
208,0.0,744,314
209,0.0,623,239
210,0.0,631,242
211,1.4,166,58
212,0.0,773,331
213,0.0,630,241
214,0.1,528,193
215,0.3,308,47
216,0.0,676,86
217,0.7,223,32
218,1.3,174,27
219,0.1,473,67
470,26.8,10,2
614,0.2,379,129
676,0.1,484,171
680,0.1,423,62
722,0.0,616,236
776,0.0,792,346
784,0.0,800,351
820,0.0,815,361
66,0.1,575,78
67,5.2,74,12
68,0.7,231,30
69,0.2,357,51
70,0.1,578,79
71,0.0,677,238
72,21.1,13,4
73,0.2,390,145
74,4.6,85,26
75,0.2,381,139
76,0.2,396,148
77,7.6,55,17
78,0.5,271,102
79,0.1,551,195
80,0.2,389,144
81,0.6,251,89
84,5.1,75,26
85,0.3,342,117
86,0.2,397,133
87,0.2,416,142
88,0.0,638,246
89,0.0,682,273
90,2.4,128,42
91,0.0,747,316
92,0.1,566,210
93,0.3,344,118
94,0.0,650,254
95,0.1,582,217
96,0.0,649,253
97,2.5,124,19
98,0.0,591,80
99,0.1,440,63
100,6.1,64,12
391,0.0,642,248
685,0.3,343,124
687,0.2,398,134
697,0.2,360,121
713,0.2,362,132
721,0.0,646,231
756,0.0,742,312
782,0.0,654,81
799,0.0,778,335
801,0.0,764,326
806,0.0,756,87
807,1.4,164,56
27,0.1,499,180
83,1.9,143,47
101,12.3,31,4
102,0.2,352,49
103,0.1,448,65
104,0.1,476,69
105,0.8,211,26
106,2.6,122,48
107,1.5,159,63
108,0.2,369,134
109,0.1,451,168
110,1.1,189,73
111,0.1,450,167
112,0.0,721,250
113,1.2,182,70
114,0.2,394,147
115,0.1,539,191
116,0.3,304,112
117,0.1,533,189
118,0.0,613,218
120,1.5,160,54
121,0.7,224,78
122,0.0,658,260
