id,selected_by_percent,selected_rank,selected_rank_type
1,35.6,7,1
2,0.4,290,39
3,0.2,380,54
4,0.2,370,53
5,44.3,4,1
6,14.5,24,8
7,5.9,66,22
8,20.4,14,4
9,0.0,595,213
10,1.4,171,65
11,0.5,272,103
13,0.5,267,101
14,0.1,504,179
15,0.3,348,127
16,7.0,56,21
17,1.6,156,53
18,0.8,213,73
19,0.9,208,72
20,0.8,223,77
21,24.9,12,4
22,0.8,222,76
23,0.0,693,278
24,0.1,449,153
25,0.1,461,157
26,3.1,113,36
28,0.1,498,178
29,0.0,591,222
30,0.9,202,30
31,0.3,313,49
266,8.1,46,17
662,0.2,401,151
666,12.5,30,7
700,1.0,198,69
711,0.0,708,288
725,0.8,216,84
759,0.0,672,236
32,4.8,81,14
33,0.4,295,40
34,0.1,511,75
35,0.0,757,88
36,8.4,45,14
37,1.6,154,59
38,7.8,49,16
39,0.6,246,92
40,0.7,238,90
41,0.3,321,117
42,0.2,372,136
43,1.6,160,62
44,0.5,257,96
45,0.3,357,131
46,0.1,469,174
47,25.2,11,3
48,0.7,240,83
49,0.1,470,162
50,0.4,298,102
51,0.0,696,280
53,0.4,291,98
54,0.7,229,79
55,0.1,500,179
56,0.0,827,371
57,0.0,669,268
58,0.2,400,134
59,0.7,233,80
60,0.2,359,120
61,0.1,545,202
62,0.1,572,213
63,0.5,276,94
64,17.4,20,5
65,0.3,333,55
389,0.2,402,135
456,0.2,368,123
688,0.6,248,35
699,0.1,509,185
701,0.1,547,193
702,0.1,496,176
703,0.6,244,34
710,0.2,385,143
719,0.1,485,176
754,0.0,751,319
757,0.0,702,83
768,0.0,690,244
781,0.0,703,248
792,0.0,787,342
808,0.2,373,59
183,0.1,456,67
184,0.2,412,58
185,0.2,417,59
186,0.0,657,233
187,1.1,189,72
188,0.2,383,142
189,0.0,733,254
190,0.7,230,87
191,7.0,55,18
192,0.6,250,93
193,0.1,453,169
194,0.1,567,202
195,0.3,345,125
196,0.0,618,220
197,0.2,399,150
198,0.9,210,80
199,0.2,378,139
200,1.9,145,47
201,0.0,718,296
202,0.0,624,239
203,0.0,596,223
204,0.0,732,304
205,0.8,219,74
206,0.1,497,177
207,0.1,433,147
208,0.0,744,314
209,0.0,625,240
210,0.0,637,246
211,1.4,170,57
212,0.0,770,329
213,0.0,629,241
214,0.1,526,191
215,0.3,304,46
216,0.0,677,86
217,0.8,224,33
218,1.3,175,29
219,0.1,474,67
470,26.9,10,2
614,0.2,387,128
676,0.1,479,166
680,0.1,423,62
722,0.0,617,236
776,0.0,792,346
784,0.0,800,351
820,0.0,816,361
66,0.1,576,78
67,5.0,79,12
68,0.7,231,31
69,0.2,360,50
70,0.1,578,79
71,0.0,675,238
72,19.2,16,5
73,0.2,392,146
74,3.8,98,33
75,0.2,386,144
76,0.2,396,149
77,6.0,64,20
78,0.5,277,104
