id,selected_by_percent,selected_rank,selected_rank_type
1,36.0,6,1
2,0.4,291,37
3,0.2,378,54
4,0.2,370,53
5,45.8,4,1
6,16.6,19,7
7,5.9,68,21
8,15.7,21,8
9,0.0,595,212
10,1.7,150,61
11,0.6,252,95
13,0.4,278,106
14,0.1,499,178
15,0.2,359,131
16,12.2,32,11
17,1.6,155,52
18,0.8,221,77
19,0.9,212,73
20,1.4,166,57
21,24.3,11,3
22,0.7,227,80
23,0.0,694,279
24,0.1,441,151
25,0.1,463,159
26,2.9,114,37
28,0.1,495,177
29,0.0,590,221
30,0.6,254,36
31,0.3,316,51
266,8.9,46,15
662,0.2,376,136
666,16.9,18,4
700,0.8,216,74
711,0.0,708,288
725,0.9,207,80
759,0.0,670,236
32,4.6,85,15
33,0.4,292,38
34,0.1,510,75
35,0.0,758,88
36,7.9,53,17
37,1.6,160,64
38,7.3,58,19
39,0.6,259,99
40,0.6,242,92
41,0.3,323,118
42,0.2,372,134
43,1.5,161,65
44,0.5,261,100
45,0.2,354,129
46,0.1,470,174
47,22.3,12,4
48,0.7,239,84
49,0.1,469,163
50,0.4,288,99
51,0.0,698,281
53,0.4,287,98
54,0.7,232,81
55,0.1,506,186
56,0.0,834,374
57,0.0,671,269
58,0.2,405,139
59,0.6,245,87
60,0.2,357,120
61,0.1,542,200
62,0.1,572,214
63,0.5,275,93
64,13.8,24,6
65,0.3,333,54
389,0.2,406,140
456,0.2,365,125
688,0.6,253,34
699,0.1,525,192
701,0.1,543,192
702,0.1,453,155
703,0.6,251,33
710,0.2,383,139
719,0.1,485,175
754,0.0,747,316
757,0.0,703,83
768,0.0,686,244
781,0.0,696,248
792,0.0,783,339
808,0.2,402,60
183,0.1,455,66
184,0.2,416,58
185,0.1,421,59
186,0.0,658,233
187,1.1,193,75
188,0.2,390,143
189,0.0,737,254
190,0.7,233,89
191,6.8,61,20
192,0.6,256,97
193,0.1,454,171
194,0.1,570,203
195,0.3,349,127
196,0.0,621,221
197,0.2,407,150
198,0.9,213,83
199,0.2,384,140
200,1.8,141,45
201,0.0,720,298
