id,selected_by_percent,selected_rank,selected_rank_type
764,0.0,794,348
794,0.0,745,256
119,16.5,19,6
431,0.3,318,44
432,0.1,432,62
433,0.0,817,96
434,0.4,282,36
435,0.1,490,73
436,1.8,149,59
437,0.4,286,107
438,0.2,361,131
439,0.1,570,202
440,4.3,91,30
441,2.4,128,51
442,1.3,174,67
443,0.9,209,83
444,1.3,177,68
445,0.1,548,193
446,0.2,415,154
447,2.4,129,52
448,0.5,277,104
449,47.0,3,2
450,8.4,48,16
451,0.0,715,294
452,1.3,173,61
454,0.1,574,215
455,0.3,337,114
457,4.4,88,28
458,1.0,196,69
459,0.1,430,147
460,0.0,666,266
461,0.0,603,229
462,0.1,533,196
463,0.1,529,193
464,0.0,703,284
465,0.3,352,56
466,0.4,285,45
467,1.4,172,26
468,0.1,518,70
681,6.0,62,12
733,3.1,106,17
755,0.0,733,305
769,0.0,783,340
771,0.0,739,310
788,0.0,724,252
827,0.0,828,371
52,0.2,362,122
135,0.6,253,35
469,4.3,92,16
471,0.1,446,65
472,0.0,725,84
473,3.7,99,33
474,1.1,186,72
475,0.4,284,106
476,3.4,100,34
477,1.9,146,57
478,1.4,168,65
479,0.0,625,223
480,0.0,597,213
481,0.7,234,89
482,0.1,465,172
483,0.4,299,110
484,0.1,433,162
485,4.3,90,30
486,2.7,118,36
487,1.1,193,67
488,4.7,81,26
489,0.6,245,86
490,0.3,333,113
491,1.1,191,65
492,0.0,683,274
494,0.1,504,183
495,0.0,774,332
496,0.0,640,247
497,1.9,144,48
498,0.0,780,337
500,0.6,255,36
501,0.3,354,57
674,0.8,214,28
684,5.5,72,24
689,0.5,274,95
714,6.5,60,11
753,0.0,685,82
765,0.0,641,230
772,0.0,776,333
12,0.2,372,136
400,0.2,389,56
426,0.1,505,184
502,4.9,78,13
503,0.1,562,77
504,0.1,535,76
505,3.4,101,35
506,1.9,142,56
507,2.4,126,50
508,4.5,83,26
509,0.0,684,242
510,0.1,560,200
511,0.1,514,184
512,0.0,693,246
513,0.3,351,128
514,0.3,312,114
515,11.8,33,11
516,0.6,243,85
517,7.3,56,19
518,0.0,619,238
519,0.0,637,246
520,0.0,824,367
521,0.1,541,199
522,0.1,552,205
523,0.1,568,212
524,0.0,704,285
525,4.6,82,16
526,2.0,137,21
527,0.3,330,52
669,0.7,232,80
675,1.1,187,23
693,0.1,531,194
696,0.1,458,66
715,0.3,329,46
716,0.0,584,208
729,0.0,822,268
734,0.0,673,271
805,0.0,717,90
814,0.0,770,260
528,0.1,421,60
529,0.3,308,41
530,0.1,475,71
531,3.2,103,36
532,0.3,302,112
533,0.0,798,265
534,0.3,327,120
535,0.0,592,211
536,0.0,729,253
537,0.1,549,194
538,0.2,383,140
539,0.1,503,179
540,0.3,340,122
541,2.9,115,45
542,0.1,516,186
543,0.3,307,107
544,0.2,417,143
545,0.0,735,306
546,0.0,699,283
547,1.6,159,55
548,0.0,758,322
549,0.0,660,261
550,0.0,665,265
551,0.1,539,198
552,0.1,554,206
553,0.2,406,139
554,0.3,320,110
555,0.0,652,256
556,0.0,782,339
557,0.1,545,202
558,0.2,409,141
559,0.0,651,255
560,1.4,170,25
561,0.5,266,41
562,0.4,280,43
563,0.1,524,71
564,0.1,526,72
668,3.3,102,34
670,8.6,45,8
678,0.5,276,103
683,5.9,65,21
694,8.7,44,14
724,0.1,577,206
730,1.2,182,29
735,0.0,653,257
774,0.0,675,238
775,0.0,826,369
800,0.0,825,368
812,0.1,474,70
813,0.0,793,347
821,0.0,816,362
822,0.0,809,357
565,4.9,79,14
566,0.3,334,47
567,1.7,152,20
568,10.7,36,11
569,2.9,113,43
570,0.2,411,151
571,0.1,553,196
572,0.0,667,235
573,0.9,203,79
574,0.3,324,119
575,17.9,16,6
576,0.0,741,255
577,0.0,606,216
578,0.3,322,117
579,0.1,456,156
581,0.1,436,149
582,9.2,39,13
583,0.0,723,299
584,0.1,429,146
585,0.2,402,136
586,0.2,394,131
587,0.0,595,224
588,0.0,608,232
589,0.0,767,327
590,0.0,663,264
591,0.2,418,144
592,0.0,801,353
593,1.0,197,70
594,0.0,742,312
595,0.2,374,126
596,1.6,155,23
597,5.6,71,14
598,0.0,679,87
599,0.5,263,39
673,0.8,218,75
717,2.0,138,46
726,0.4,283,44
745,0.0,615,219
750,0.0,638,228
751,0.0,788,343
790,0.0,762,324
796,0.1,500,180
804,0.0,678,239
811,0.0,791,346
818,0.0,630,84
326,0.2,414,142
600,1.9,143,19
601,0.2,366,52
602,0.2,384,55
603,2.5,123,49
604,0.0,585,209
605,0.1,434,163
606,2.1,135,54
607,0.0,609,217
608,0.0,620,221
609,0.1,489,176
610,4.4,86,28
611,0.1,559,199
612,1.1,194,68
613,0.4,296,103
615,1.4,165,57
616,0.0,599,225
617,0.0,718,296
618,0.0,613,235
619,0.0,692,278
620,0.0,611,234
621,0.2,376,127
622,0.1,581,216
623,0.5,264,91
624,15.0,22,6
625,0.6,257,37
626,0.5,268,42
659,0.3,336,121
671,0.5,265,40
679,0.8,211,26
708,0.4,281,98
718,0.0,661,262
738,0.0,624,80
747,0.0,621,222
752,0.0,639,229
758,0.0,726,300
785,0.0,696,88
791,0.2,356,58
802,0.0,769,329
815,0.2,368,134
825,0.0,804,92
627,0.1,439,63
628,1.2,184,22
629,0.5,272,35
631,0.1,462,171
632,0.1,511,182
633,0.2,380,139
634,0.1,512,183
635,0.1,522,187
636,0.1,431,161
637,0.1,508,180
638,0.9,205,80
639,0.0,772,261
640,0.4,295,109
641,0.9,199,77
642,0.1,463,159
643,0.1,454,155
644,0.0,587,220
645,0.0,662,263
646,0.4,297,104
647,0.0,805,355
648,0.0,631,243
649,0.0,823,366
650,0.2,387,130
651,0.4,292,102
652,1.2,179,62
653,0.0,668,267
655,0.2,405,61
656,0.0,594,81
657,0.0,628,83
658,1.8,148,22
663,0.1,448,152
682,0.1,555,197
695,0.0,633,226
709,0.1,557,198
720,0.1,452,64
749,1.3,175,27
766,0.0,632,225
767,0.0,765,326
777,0.0,812,359
778,0.0,753,320
809,0.0,738,309
816,0.0,730,303
817,0.1,537,74
828,0.0,792,91
