first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Borna,Sosa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Chadi,Riad Dnanou,0,0,1,72,2,1.3,12.6,0.0,0,7,1.4,0,0,0,0.0,43,DEF,0.2
Oscar,Mingueza,0,0,2,16,1,0.4,3.2,0.0,0,5,0.3,0,0,0,0.1,44,DEF,0.5
Ismaïla,Sarr,0,0,1,8,0,0.5,0.0,0.0,0,3,0.1,0,0,0,0.6,62,MID,0.2
Adam,Wharton,0,0,12,436,10,97.0,73.0,18.0,0,77,18.9,1,0,1,0.7,55,MID,2.2
Yéremy,Pino Santos,0,2,14,307,6,94.1,30.2,33.0,0,70,15.8,1,0,1,0.4,55,MID,2.5
Will,Hughes,0,0,2,29,1,15.3,8.0,0.0,0,9,2.4,0,0,0,7.4,44,MID,0.5
Jefferson,Lerma Solís,0,0,1,51,1,0.8,17.6,11.0,0,6,3.0,0,0,1,0.1,48,MID,0.2
Daichi,Kamada,0,3,21,441,10,81.2,95.6,42.0,0,109,21.9,1,0,1,0.5,50,MID,4.2
Justin,Devenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Romain,Esse,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Matheus,França de Oliveira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Cheick,Doucouré,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID,0.0
Jesurun,Rak-Sakyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Rio,Cardines,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Joél,Drakes-Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Jørgen,Strand Larsen,1,0,14,298,5,32.5,62.6,65.0,2,69,16.1,1,0,0,0.6,60,FWD,2.3
Jean-Philippe,Mateta,0,0,2,62,2,12.3,1.4,11.0,0,-3,2.5,0,0,0,1.3,63,FWD,0.3
Eddie,Nketiah,0,1,8,175,7,46.4,34.2,50.0,0,38,13.0,0,0,0,0.5,55,FWD,1.5
Christantus,Uche,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD,0.0
Dwight,McNeil,0,0,3,84,3,5.0,10.0,2.0,0,13,1.7,0,0,0,0.1,54,MID,0.6
Remi,Matthews,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,40,GK,0.0
Takehiro,Tomiyasu,0,0,3,189,5,15.6,35.8,8.0,0,10,6.0,0,0,0,0.3,44,DEF,0.7
Anan,Khalaili,1,0,19,379,8,48.8,128.2,48.0,0,54,22.5,1,0,1,0.3,50,DEF,3.8
Zavier,Gozo,0,0,2,28,2,1.6,1.4,0.0,0,6,0.3,0,0,0,0.0,50,MID,0.4
Honest,Ahanor,0,0,3,90,3,11.9,24.6,4.0,0,10,4.1,0,0,0,0.0,45,DEF,0.7
Ben,Chilwell,1,0,8,29,1,4.2,33.4,21.0,0,21,5.9,0,0,0,0.4,45,DEF,1.8
Quinten,Timber,0,0,9,253,5,29.1,37.8,34.0,0,45,10.0,1,0,0,0.0,50,MID,1.8
Darío,Osorio,0,0,1,1,0,0.3,2.0,0.0,0,2,0.2,0,0,0,0.0,55,MID,0.2
Christian,Nørgaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Brennan,Johnson,0,0,9,238,1,52.8,23.0,25.0,0,26,10.0,2,0,1,0.1,59,MID,1.5
Jordan,Pickford,0,0,25,450,3,0.0,119.2,0.0,1,121,12.0,3,0,0,9.1,55,GK,4.5
Mark,Travers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,GK,0.0
Tom,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK,0.0
James,Tarkowski,1,1,43,450,3,25.6,149.6,30.0,7,138,20.5,3,0,0,15.8,61,DEF,7.0
Jarrad,Branthwaite,0,0,27,450,3,7.2,145.4,73.0,0,97,22.5,3,0,0,2.4,55,DEF,4.9
Michael,Keane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,48,DEF,0.0
Jake,O'Brien,0,0,2,16,0,0.0,3.0,0.0,0,5,0.3,0,0,0,0.3,48,DEF,0.4
Vitalii,Mykolenko,0,0,27,450,3,35.7,105.6,13.0,3,109,15.5,3,0,1,4.2,46,DEF,5.9
Nathan,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Adam,Aznou,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Kiernan,Dewsbury-Hall,1,0,20,450,3,160.8,102.8,125.0,3,110,38.9,3,0,1,6.0,66,MID,3.0
Jack,Grealish,0,0,6,135,1,71.7,21.6,20.0,0,36,11.4,1,0,0,0.5,65,MID,0.9
James,Garner,0,0,11,328,2,68.3,51.4,13.0,0,71,13.4,2,0,2,0.2,60,MID,1.8
Tyrique,George,1,0,19,309,3,86.2,64.0,75.0,3,77,22.5,2,0,0,0.9,55,MID,3.5
Carlos,Alcaraz Durán,0,0,1,5,0,0.8,5.0,25.0,0,5,2.7,0,0,1,0.1,49,MID,0.2
Harrison,Armstrong,0,1,16,446,3,64.5,62.6,19.0,0,61,14.7,3,0,2,0.4,50,MID,3.2
Tyler,Dibling,0,0,1,24,0,24.4,7.2,26.0,0,10,5.8,0,0,0,0.0,54,MID,0.2
Merlin,Röhl,0,0,6,249,2,32.1,26.6,2.0,0,35,6.1,1,0,1,0.0,49,MID,1.2
Hayden,Hackney,0,1,10,137,1,50.0,40.4,21.0,0,39,11.1,1,0,0,0.2,54,MID,1.9
Norberto Bercique,Gomes Betuncal,0,0,2,31,0,0.3,3.0,5.0,0,5,0.8,0,0,0,0.6,54,FWD,0.4
Thierno,Barry,2,0,20,417,3,72.0,85.8,207.0,2,83,36.5,3,0,0,8.1,56,FWD,3.6
Ainsley,Maitland-Niles,1,0,21,177,1,38.8,67.2,8.0,2,75,11.4,2,0,0,1.3,45,DEF,4.7
Braiden,Graham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Bernd,Leno,0,0,18,450,8,0.0,127.6,0.0,2,77,12.8,1,0,0,3.3,45,GK,4.0
Benjamin,Lecomte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,40,GK,0.0
Alfie,McNally,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Joachim,Andersen,0,0,3,190,5,35.8,52.2,8.0,0,12,9.6,0,0,1,0.1,50,DEF,0.6
Antonee,Robinson,0,0,12,429,8,106.7,93.6,18.0,0,65,21.8,1,0,0,1.4,45,DEF,2.7
Jorge,Cuenca Barreno,0,0,3,90,3,21.3,32.8,0.0,0,7,5.4,0,0,0,0.0,45,DEF,0.7
Kenny,Tete,0,0,0,27,0,0.3,1.6,2.0,0,-1,0.4,0,0,1,0.2,44,DEF,0.0
